TITULO,AUTOR,A0,A#0,B0,C1,C#1,D1,D#1,E1,F1,F#1,G1,G#1,A1,A#1,B1,C2,C#2,D2,D#2,E2,F2,F#2,G2,G#2,A2,A#2,B2,C3,C#3,D3,D#3,E3,F3,F#3,G3,G#3,A3,A#3,B3,C4,C#4,D4,D#4,E4,F4,F#4,G4,G#4,A4,A#4,B4,C5,C#5,D5,D#5,E5,F5,F#5,G5,G#5,A5,A#5,B5,C6,C#6,D6,D#6,E6,F6,F#6,G6,G#6,A6,A#6,B6,C7,C#7,D7,D#7,E7,F7,F#7,G7,G#7,A7,A#7,B7,C8
Danzas españolas - 4 Villanesca,Enrique Granados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,22,0.0,0.0,0.0,0.0,190,0.0,2,7,0.0,4,0.0,150,6,13,8,1,10,1,32,22,106,122,4,163,22,72,24,48,146,0.0,125,35,127,147,3,104,6,46,20,19,49,0.0,25,1,24,12,0.0,75,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Grande Valse Brillante, Opus 18",Chopin,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,13,0.0,0.0,12,0.0,40,0.0,0.0,15,0.0,78,4,106,4,0.0,64,36,235,10,106,35,84,270,8,245,74,152,160,66,215,12,178,72,134,275,15,206,74,105,96,50,224,44,234,84,140,141,10,128,12,26,24,4,38,2,26,4,16,12,11,12,2,2,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clair de Lune,Debussy,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,1,1,1,0.0,1,9,0.0,10,0.0,9,9,0.0,49,1,9,0.0,8,30,0.0,43,5,31,47,3,67,6,56,14,43,92,2,89,26,80,133,1,94,20,117,12,43,96,1,73,19,73,59,1,50,13,61,8,16,45,0.0,19,4,21,3,0.0,22,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Polonaise Ab major, Opus 53",Chopin,0.0,0.0,0.0,1,1,0.0,29,4,20,1,4,25,4,51,95,48,104,27,228,115,75,16,40,76,9,121,128,108,132,56,255,148,174,41,140,186,76,163,152,239,165,73,235,115,189,66,178,257,55,171,56,199,127,52,245,41,175,44,95,94,26,85,13,113,81,21,94,8,63,13,36,18,6,19,0.0,14,1,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"The Seasons, Opus 37a - December - Christmas",Tchaikovsky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,5,14,4,0.0,53,12,22,14,30,24,9,181,35,180,30,0.0,202,12,93,85,198,134,55,150,48,154,42,0.0,157,19,52,47,99,66,58,91,81,115,24,0.0,37,2,10,2,11,0.0,0.0,2,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
For Elise,Beethoven,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,9,6,25,0.0,0.0,3,3,102,19,8,5,0.0,1,0.0,50,10,0.0,15,16,54,8,6,49,0.0,14,1,77,17,1,20,11,60,8,63,63,5,54,52,97,21,1,20,1,7,2,4,6,1,2,1,6,1,1,1,1,2,1,1,2,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spinning Song,Burgmueller,0.0,0.0,0.0,0.0,0.0,2,0.0,1,0.0,1,1,0.0,6,2,1,0.0,1,12,0.0,1,0.0,1,6,0.0,17,4,1,0.0,4,51,0.0,7,0.0,10,24,3,54,6,14,0.0,16,52,0.0,13,5,31,19,4,23,4,36,1,17,101,0.0,22,2,85,65,0.0,70,2,54,4,35,82,0.0,39,4,42,35,4,28,0.0,17,0.0,7,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Symphony No. 9 in Dm, 4th movement ""Ode to Joy"" theme (arranged for piano solo)",Beethoven,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,2,2,0.0,0.0,31,0.0,4,0.0,16,0.0,2,19,0.0,2,0.0,12,47,0.0,37,0.0,36,12,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"The Seasons, Opus 37a - October - Autumn Song",Tchaikovsky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7,0.0,2,4,2,14,2,29,11,0.0,4,0.0,30,2,24,28,12,42,4,77,39,2,26,28,71,5,63,42,12,45,9,53,25,13,22,27,48,0.0,37,28,4,18,2,17,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"The Seasons, Opus 37a - November - Troika Ride",Tchaikovsky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,18,7,9,0.0,7,9,1,36,4,14,14,13,85,23,49,0.0,28,53,24,151,25,61,29,42,78,34,79,0.0,67,83,15,138,42,60,40,37,94,50,77,0.0,92,29,3,96,13,28,1,18,9,2,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
